CD_DT	ID	CD_U	MARK	Cosine_comp_NM	Number_comp_NM	N_index_comp_NM	Word_eq_ru_NM	Every_word_mectric_NM	Levenshtein_metric_NM	Cosine_comp_PROD	Word_eq_ru_PROD	Every_word_metric_PROD	Levenshtein_metric_PROD
CD_DT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ID	NaN	1.000000	-0.169080	0.135479	0.011643	0.201288	0.216488	-0.049376	-0.053766	-0.054688	-0.144773	0.026195	0.042704	0.083431
CD_U	NaN	-0.169080	1.000000	-0.282347	-0.171126	-0.495774	-0.499305	0.021040	0.018592	0.018530	0.196804	0.044637	0.014462	-0.041297
MARK	NaN	0.135479	-0.282347	1.000000	0.399564	0.382356	0.360291	0.460422	0.439072	0.446261	0.058808	0.164481	0.206612	0.235521
Cosine_comp_NM	NaN	0.011643	-0.171126	0.399564	1.000000	0.325940	0.265450	0.510417	0.571049	0.565911	-0.036968	-0.037174	0.033484	0.049401
Number_comp_NM	NaN	0.201288	-0.495774	0.382356	0.325940	1.000000	0.863336	0.263474	0.347758	0.340300	-0.178090	-0.051906	-0.015685	0.046710
N_index_comp_NM	NaN	0.216488	-0.499305	0.360291	0.265450	0.863336	1.000000	0.226031	0.312019	0.300224	-0.195583	-0.076586	-0.044531	0.012801
Word_eq_ru_NM	NaN	-0.049376	0.021040	0.460422	0.510417	0.263474	0.226031	1.000000	0.780003	0.757013	0.097175	0.143644	0.174728	0.173006
Every_word_mectric_NM	NaN	-0.053766	0.018592	0.439072	0.571049	0.347758	0.312019	0.780003	1.000000	0.989912	0.079200	0.094842	0.132431	0.134514
Levenshtein_metric_NM	NaN	-0.054688	0.018530	0.446261	0.565911	0.340300	0.300224	0.757013	0.989912	1.000000	0.081126	0.097374	0.137726	0.139376
Cosine_comp_PROD	NaN	-0.144773	0.196804	0.058808	-0.036968	-0.178090	-0.195583	0.097175	0.079200	0.081126	1.000000	0.647298	0.554099	0.531917
Word_eq_ru_PROD	NaN	0.026195	0.044637	0.164481	-0.037174	-0.051906	-0.076586	0.143644	0.094842	0.097374	0.647298	1.000000	0.886266	0.866657
Every_word_metric_PROD	NaN	0.042704	0.014462	0.206612	0.033484	-0.015685	-0.044531	0.174728	0.132431	0.137726	0.554099	0.886266	1.000000	0.981665
Levenshtein_metric_PROD	NaN	0.083431	-0.041297	0.235521	0.049401	0.046710	0.012801	0.173006	0.134514	0.139376	0.531917	0.866657	0.981665	1.000000
